Lotto Game,Winning Combination,Winners,Jackpot Prize
2D Sep 23 (2pm),22-16,,
2D Sep 23 (5pm),Stand by…,,
2D Sep 23 (9pm),Stand by…,,
3D Sep 23 (2pm),Stand by…,,
3D Sep 23 (5pm),Stand by…,,
3D Sep 23 (9pm),Stand by…,,
4D Sep 21,9-1-3-5,24,"35,200.00"
6D Sep 22,3-8-1-8-0-5,0,"602,977.08"
6/42 Sep 22,11-26-07-16-35-23,0,"53,853,227.77"
6/45 Sep 21,36-43-07-02-28-39,0,"67,374,234.81"
6/49 Sep 22,25-15-38-37-29-06,0,"25,339,669.32"
6/55 Sep 21,54-17-51-21-37-12,0,"214,440,141.84"
6/58 Sep 22,18-03-22-20-19-43,0,"322,258,134.01"
