Lotto Game,Winning Combination,Winners,Jackpot Prize
2D Sep 26 (2pm),23-05,,
2D Sep 26 (5pm),14-18,,
2D Sep 26 (9pm),22-29,,
3D Sep 26 (2pm),3-1-7,,
3D Sep 26 (5pm),9-8-3,,
3D Sep 26 (9pm),1-5-8,,
4D Sep 26,3-0-6-4,33,"25,517.00"
6D Sep 26,9-3-9-0-7-5,*,*
6/42 Sep 26,16-41-19-05-26-31,*,"62,394,735.87"
6/45 Sep 26,37-33-38-14-45-32,0,"75,233,668.75"
6/49 Sep 26,30-39-34-17-37-11,0,"25,396,508.95"
6/55 Sep 26,54-50-52-37-42-55,*,"225,518,898.10"
6/58 Sep 26,41-29-43-16-54-27,0,"330,176,,341.88"
